id_compra_mercadoria,id_fornecedor,data_compra,descricao,quantidade,valor_unitario,valor_total,data_vencimento,status_pagamento
61,26,2023-05-25,Azeite grego,20,42.00,840.00,2023-06-25,pago
62,13,2023-05-28,Vinho tinto Tannat,19,50.00,950.00,2023-06-28,pago
63,13,2023-06-02,Vinho branco Riesling,16,46.00,736.00,2023-07-02,pago
64,8,2023-06-05,Desengordurante,38,9.50,361.00,2023-07-05,pago
65,8,2023-06-08,Limpa vidros,32,7.50,240.00,2023-07-08,pago
66,9,2023-06-10,Luvas descartáveis,150,22.00,3300.00,2023-07-10,pago
67,9,2023-06-12,Touca descartável,200,15.00,3000.00,2023-07-12,pago
68,4,2023-06-15,Refrigerante Kuat 2L,88,6.00,528.00,2023-07-15,pago
69,4,2023-06-18,Água tônica,65,5.50,357.50,2023-07-18,pago
70,16,2023-06-20,Suco de limão,44,9.50,418.00,2023-07-20,pago
71,29,2023-06-22,Cerveja Patagonia,110,5.50,605.00,2023-07-22,pago
72,29,2023-06-25,Cerveja Devassa,130,4.20,546.00,2023-07-25,pago
73,26,2023-06-28,Azeite chileno,24,30.00,720.00,2023-07-28,pago
74,13,2023-07-02,Vinho tinto Carmenere,21,42.00,882.00,2023-08-02,pago
75,13,2023-07-05,Prosecco,18,48.00,864.00,2023-08-05,pago
76,8,2023-07-08,Amaciante,42,11.00,462.00,2023-08-08,pago
77,8,2023-07-10,Cloro,35,5.50,192.50,2023-08-10,pago
78,9,2023-07-12,Papel higiênico,180,24.00,4320.00,2023-08-12,pago
79,9,2023-07-15,Guardanapo de tecido,100,8.00,800.00,2023-08-15,pago
80,4,2023-07-18,Refrigerante Dolly 2L,92,5.50,506.00,2023-08-18,pago
81,4,2023-07-20,Isotônico Gatorade,75,6.00,450.00,2023-08-20,pago
82,16,2023-07-22,Suco de tangerina,40,10.00,400.00,2023-08-22,pago
83,29,2023-07-25,Cerveja Original,155,3.80,589.00,2023-08-25,pago
84,29,2023-07-28,Cerveja Petra,95,4.50,427.50,2023-08-28,pago
85,26,2023-08-02,Azeite argentino,26,34.00,884.00,2023-09-02,pago
86,13,2023-08-05,Vinho tinto Pinot Noir,17,52.00,884.00,2023-09-05,pago
87,13,2023-08-08,Vinho branco Moscato,20,40.00,800.00,2023-09-08,pago
88,8,2023-08-10,Sabão líquido,48,14.00,672.00,2023-09-10,pago
89,8,2023-08-12,Removedor manchas,28,16.00,448.00,2023-09-12,pago
90,9,2023-08-15,Bandeja isopor,140,2.50,350.00,2023-09-15,pago
91,9,2023-08-18,Tampa para marmitex,160,1.80,288.00,2023-09-18,pago
92,4,2023-08-20,Refrigerante Sukita 2L,78,5.80,452.40,2023-09-20,pago
93,4,2023-08-22,Água de coco,90,4.50,405.00,2023-09-22,pago
94,16,2023-08-25,Suco de melancia,35,11.00,385.00,2023-09-25,pago
95,29,2023-08-28,Cerveja Baden Baden,85,6.00,510.00,2023-09-28,pago
96,29,2023-09-02,Cerveja Wäls,70,6.50,455.00,2023-10-02,pago
97,26,2023-09-05,Azeite turco,18,45.00,810.00,2023-10-05,pago
98,13,2023-09-08,Vinho tinto Tempranillo,22,44.00,968.00,2023-10-08,pago
99,13,2023-09-10,Champagne,12,120.00,1440.00,2023-10-10,pago
100,8,2023-09-12,Limpador piso,44,10.00,440.00,2023-10-12,pago
101,8,2023-09-15,Inseticida,25,18.00,450.00,2023-10-15,pago
102,9,2023-09-18,Palito de dente,80,3.50,280.00,2023-10-18,pago
103,9,2023-09-20,Canudo biodegradável,120,12.00,1440.00,2023-10-20,pago
104,4,2023-09-22,Refrigerante Crush 2L,82,6.50,533.00,2023-10-22,pago
105,4,2023-09-25,Soda limonada,68,5.00,340.00,2023-10-25,pago
106,16,2023-09-28,Suco de morango,38,12.50,475.00,2023-10-28,pago
107,29,2023-10-02,Cerveja Serramalte,145,3.60,522.00,2023-11-02,pago
108,29,2023-10-05,Cerveja Dado Bier,105,5.00,525.00,2023-11-05,pago
109,26,2023-10-08,Azeite marroquino,21,40.00,840.00,2023-11-08,pago
110,13,2023-10-10,Vinho tinto Sangiovese,19,46.00,874.00,2023-11-10,pago
111,13,2023-10-12,Vinho branco Gewürztraminer,15,48.00,720.00,2023-11-12,pago
112,8,2023-10-15,Alvejante,40,6.50,260.00,2023-11-15,pago
113,8,2023-10-18,Limpa forno,22,15.00,330.00,2023-11-18,pago
114,9,2023-10-20,Papel manteiga,55,10.00,550.00,2023-11-20,pago
115,9,2023-10-22,Saco para freezer,90,8.50,765.00,2023-11-22,pago
116,4,2023-10-25,Refrigerante Citrus 2L,76,6.00,456.00,2023-11-25,pago
117,4,2023-10-28,Energético Monster,72,9.00,648.00,2023-11-28,pago
118,16,2023-11-02,Suco de pêssego,42,11.00,462.00,2023-12-02,pendente
119,29,2023-11-05,Cerveja Itaipava,210,3.00,630.00,2023-12-05,pendente
120,29,2023-11-08,Cerveja Antarctica,175,3.30,577.50,2023-12-08,pendente
121,26,2023-11-10,Azeite tunisiano,23,36.00,828.00,2023-12-10,pendente
122,13,2023-11-12,Vinho tinto Barbera,20,42.00,840.00,2023-12-12,pendente
123,13,2023-11-15,Vinho branco Viognier,17,44.00,748.00,2023-12-15,pendente
124,8,2023-11-18,Desodorizador,35,7.50,262.50,2023-12-18,pendente
125,8,2023-11-20,Limpa inox,28,12.00,336.00,2023-12-20,pendente
126,9,2023-11-22,Pote plástico 500ml,100,4.50,450.00,2023-12-22,pendente
127,9,2023-11-25,Pote plástico 1L,85,6.00,510.00,2023-12-25,pendente
128,4,2023-11-28,Refrigerante Fanta Uva 2L,84,6.20,520.80,2023-12-28,pendente
129,4,2023-12-02,Água saborizada,95,3.50,332.50,2024-01-02,pendente
130,16,2023-12-05,Suco de maçã,46,10.50,483.00,2024-01-05,pendente
131,29,2023-12-08,Cerveja Proibida,120,4.80,576.00,2024-01-08,pendente
132,29,2023-12-10,Cerveja Therezópolis,88,5.50,484.00,2024-01-10,pendente
133,26,2023-12-12,Azeite libanês,19,42.00,798.00,2024-01-12,pendente
134,13,2023-12-15,Vinho tinto Zinfandel,18,48.00,864.00,2024-01-15,pendente
135,13,2023-12-18,Vinho branco Albariño,16,46.00,736.00,2024-01-18,pendente
136,8,2023-12-20,Sabão em barra,50,3.50,175.00,2024-01-20,pendente
137,8,2023-12-22,Limpador banheiro,32,11.00,352.00,2024-01-22,pendente
138,9,2023-12-25,Papel vegetal,48,9.00,432.00,2024-01-25,pendente
139,9,2023-12-28,Embalagem pizza,75,5.50,412.50,2024-01-28,pendente
140,4,2023-01-20,Refrigerante Guaraná Jesus,65,7.00,455.00,2023-02-20,pago
141,4,2023-02-18,Refrigerante Mineirinho,58,6.50,377.00,2023-03-18,pago
142,16,2023-03-16,Suco de graviola,32,13.00,416.00,2023-04-16,pago
143,29,2023-04-14,Cerveja Backer,92,5.20,478.40,2023-05-14,pago
144,26,2023-05-12,Azeite francês,17,48.00,816.00,2023-06-12,pago
145,13,2023-06-10,Vinho tinto Primitivo,16,50.00,800.00,2023-07-10,pago
146,8,2023-07-08,Pano de chão,60,8.00,480.00,2023-08-08,pago
147,9,2023-08-06,Fita adesiva,45,6.50,292.50,2023-09-06,pago
148,4,2023-09-04,Refrigerante Tubaina,70,5.50,385.00,2023-10-04,pago
149,16,2023-10-02,Suco de pitanga,28,12.00,336.00,2023-11-02,pago
150,29,2023-11-01,Cerveja Seasons,78,6.20,483.60,2023-12-01,pendente
